"year","state","state_fips","county_fips","county_name","county_name_caps","age","race/ethnicity","sex","estimate"
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0 to 0.4","Total","Total",57
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0.5 to 4","Total","Total",514
"2017-2021","MN",27,27001,"Aitkin","AITKIN","5 to 11","Total","Total",1061
"2017-2021","MN",27,27001,"Aitkin","AITKIN","12 to 15","Total","Total",652
"2017-2021","MN",27,27001,"Aitkin","AITKIN","16 to 17","Total","Total",350
"2017-2021","MN",27,27001,"Aitkin","AITKIN","18 to 49","Total","Total",4206
"2017-2021","MN",27,27001,"Aitkin","AITKIN","50 to 64","Total","Total",3736
"2017-2021","MN",27,27001,"Aitkin","AITKIN","65 to 74","Total","Total",3008
"2017-2021","MN",27,27001,"Aitkin","AITKIN","75+","Total","Total",2163
"2017-2021","MN",27,27001,"Aitkin","AITKIN","Total","Total","Total",15747
"2017-2021","MN",27,27001,"Aitkin","AITKIN","5+","Total","Total",15176
"2017-2021","MN",27,27001,"Aitkin","AITKIN","12+","Total","Total",14115
"2017-2021","MN",27,27001,"Aitkin","AITKIN","16+","Total","Total",13463
"2017-2021","MN",27,27001,"Aitkin","AITKIN","18+","Total","Total",13113
"2017-2021","MN",27,27001,"Aitkin","AITKIN","50+","Total","Total",8907
"2017-2021","MN",27,27001,"Aitkin","AITKIN","65+","Total","Total",5171
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0 to 0.4","Total","Female",28
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0.5 to 4","Total","Female",250
"2017-2021","MN",27,27001,"Aitkin","AITKIN","5 to 11","Total","Female",485
"2017-2021","MN",27,27001,"Aitkin","AITKIN","12 to 15","Total","Female",350
"2017-2021","MN",27,27001,"Aitkin","AITKIN","16 to 17","Total","Female",180
"2017-2021","MN",27,27001,"Aitkin","AITKIN","18 to 49","Total","Female",2099
"2017-2021","MN",27,27001,"Aitkin","AITKIN","50 to 64","Total","Female",1840
"2017-2021","MN",27,27001,"Aitkin","AITKIN","65 to 74","Total","Female",1451
"2017-2021","MN",27,27001,"Aitkin","AITKIN","75+","Total","Female",1098
"2017-2021","MN",27,27001,"Aitkin","AITKIN","Total","Total","Female",7781
"2017-2021","MN",27,27001,"Aitkin","AITKIN","5+","Total","Female",7503
"2017-2021","MN",27,27001,"Aitkin","AITKIN","12+","Total","Female",7018
"2017-2021","MN",27,27001,"Aitkin","AITKIN","16+","Total","Female",6668
"2017-2021","MN",27,27001,"Aitkin","AITKIN","18+","Total","Female",6488
"2017-2021","MN",27,27001,"Aitkin","AITKIN","50+","Total","Female",4389
"2017-2021","MN",27,27001,"Aitkin","AITKIN","65+","Total","Female",2549
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0 to 0.4","Total","Male",29
"2017-2021","MN",27,27001,"Aitkin","AITKIN","0.5 to 4","Total","Male",264
"2017-2021","MN",27,27001,"Aitkin","AITKIN","5 to 11","Total","Male",576
"2017-2021","MN",27,27001,"Aitkin","AITKIN","12 to 15","Total","Male",302
