"year","state","state_fips","county_fips","county_name","county_name_caps","age","race and ethnicity","sex","estimate"
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Total","Total",58
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Total","Total",521
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Total","Total",1021
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Total","Total",640
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Total","Total",343
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Total","Total",4201
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Total","Total",3745
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Total","Total",3033
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Total","Total",2297
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Total","Total",15859
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Total","Total",15280
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Total","Total",14259
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Total","Total",13619
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Total","Total",13276
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Total","Total",9075
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Total","Total",5330
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Total","Female",29
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Total","Female",261
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Total","Female",481
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Total","Female",335
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Total","Female",171
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Total","Female",2092
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Total","Female",1826
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Total","Female",1469
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Total","Female",1191
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Total","Female",7855
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Total","Female",7565
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Total","Female",7084
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Total","Female",6749
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Total","Female",6578
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Total","Female",4486
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Total","Female",2660
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Total","Male",29
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Total","Male",260
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Total","Male",540
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Total","Male",306
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Total","Male",171
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Total","Male",2109
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Total","Male",1919
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Total","Male",1564
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Total","Male",1106
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Total","Male",8004
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Total","Male",7715
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Total","Male",7175
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Total","Male",6869
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Total","Male",6698
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Total","Male",4589
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Total","Male",2670
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","American Indian and Alaska Native","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","American Indian and Alaska Native","Total",16
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","American Indian and Alaska Native","Total",53
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","American Indian and Alaska Native","Total",33
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","American Indian and Alaska Native","Total",5
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","American Indian and Alaska Native","Total",120
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","American Indian and Alaska Native","Total",46
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","American Indian and Alaska Native","Total",23
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","American Indian and Alaska Native","Total",5
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","American Indian and Alaska Native","Total",303
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","American Indian and Alaska Native","Total",285
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","American Indian and Alaska Native","Total",232
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","American Indian and Alaska Native","Total",199
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","American Indian and Alaska Native","Total",194
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","American Indian and Alaska Native","Total",74
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","American Indian and Alaska Native","Total",28
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",1
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",7
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",1
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",11
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",7
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Asian, Native Hawaiian and Other Pacific Islander","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Asian, Native Hawaiian and Other Pacific Islander","Total",29
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Asian, Native Hawaiian and Other Pacific Islander","Total",28
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Asian, Native Hawaiian and Other Pacific Islander","Total",21
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Asian, Native Hawaiian and Other Pacific Islander","Total",20
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Asian, Native Hawaiian and Other Pacific Islander","Total",20
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Asian, Native Hawaiian and Other Pacific Islander","Total",9
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Asian, Native Hawaiian and Other Pacific Islander","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Black","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Black","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Black","Total",18
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Black","Total",14
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Black","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Black","Total",19
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Black","Total",15
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Black","Total",7
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Black","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Black","Total",73
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Black","Total",73
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Black","Total",55
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Black","Total",41
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Black","Total",41
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Black","Total",22
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Black","Total",7
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Other race","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Other race","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Other race","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Other race","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Other race","Total",0
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18 to 49 yrs","Other race","Total",93
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50 to 64 yrs","Other race","Total",8
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65 to 74 yrs","Other race","Total",10
"2018-2022","MN",27,27001,"Aitkin","AITKIN","75+ yrs","Other race","Total",2
"2018-2022","MN",27,27001,"Aitkin","AITKIN","Total","Other race","Total",117
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5+","Other race","Total",117
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12+","Other race","Total",115
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16+","Other race","Total",113
"2018-2022","MN",27,27001,"Aitkin","AITKIN","18+","Other race","Total",113
"2018-2022","MN",27,27001,"Aitkin","AITKIN","50+","Other race","Total",20
"2018-2022","MN",27,27001,"Aitkin","AITKIN","65+","Other race","Total",12
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0 to 0.4 yrs","Two or more races","Total",6
"2018-2022","MN",27,27001,"Aitkin","AITKIN","0.5 to 4 yrs","Two or more races","Total",55
"2018-2022","MN",27,27001,"Aitkin","AITKIN","5 to 11 yrs","Two or more races","Total",50
"2018-2022","MN",27,27001,"Aitkin","AITKIN","12 to 15 yrs","Two or more races","Total",35
"2018-2022","MN",27,27001,"Aitkin","AITKIN","16 to 17 yrs","Two or more races","Total",30
