"year","state","state_fips","age","race and ethnicity","sex","estimate"
"2018-2022","MN",27,"0 to 0.4 yrs","Total","Total",34055
"2018-2022","MN",27,"0.5 to 4 yrs","Total","Total",306491
"2018-2022","MN",27,"5 to 11 yrs","Total","Total",515349
"2018-2022","MN",27,"12 to 15 yrs","Total","Total",300751
"2018-2022","MN",27,"16 to 17 yrs","Total","Total",150438
"2018-2022","MN",27,"18 to 49 yrs","Total","Total",2354858
"2018-2022","MN",27,"50 to 64 yrs","Total","Total",1093954
"2018-2022","MN",27,"65 to 74 yrs","Total","Total",550838
"2018-2022","MN",27,"75+ yrs","Total","Total",388558
"2018-2022","MN",27,"Total","Total","Total",5695292
"2018-2022","MN",27,"5+","Total","Total",5354746
"2018-2022","MN",27,"12+","Total","Total",4839397
"2018-2022","MN",27,"16+","Total","Total",4538646
"2018-2022","MN",27,"18+","Total","Total",4388208
"2018-2022","MN",27,"50+","Total","Total",2033350
"2018-2022","MN",27,"65+","Total","Total",939396
"2018-2022","MN",27,"0 to 0.4 yrs","Total","Female",16656
"2018-2022","MN",27,"0.5 to 4 yrs","Total","Female",149900
"2018-2022","MN",27,"5 to 11 yrs","Total","Female",250931
"2018-2022","MN",27,"12 to 15 yrs","Total","Female",147661
"2018-2022","MN",27,"16 to 17 yrs","Total","Female",73278
"2018-2022","MN",27,"18 to 49 yrs","Total","Female",1147780
"2018-2022","MN",27,"50 to 64 yrs","Total","Female",541786
"2018-2022","MN",27,"65 to 74 yrs","Total","Female",282602
"2018-2022","MN",27,"75+ yrs","Total","Female",226734
"2018-2022","MN",27,"Total","Total","Female",2837328
"2018-2022","MN",27,"5+","Total","Female",2670772
"2018-2022","MN",27,"12+","Total","Female",2419841
"2018-2022","MN",27,"16+","Total","Female",2272180
"2018-2022","MN",27,"18+","Total","Female",2198902
"2018-2022","MN",27,"50+","Total","Female",1051122
"2018-2022","MN",27,"65+","Total","Female",509336
"2018-2022","MN",27,"0 to 0.4 yrs","Total","Male",17399
"2018-2022","MN",27,"0.5 to 4 yrs","Total","Male",156591
"2018-2022","MN",27,"5 to 11 yrs","Total","Male",264418
"2018-2022","MN",27,"12 to 15 yrs","Total","Male",153090
"2018-2022","MN",27,"16 to 17 yrs","Total","Male",77160
"2018-2022","MN",27,"18 to 49 yrs","Total","Male",1207079
"2018-2022","MN",27,"50 to 64 yrs","Total","Male",552167
"2018-2022","MN",27,"65 to 74 yrs","Total","Male",268236
"2018-2022","MN",27,"75+ yrs","Total","Male",161824
"2018-2022","MN",27,"Total","Total","Male",2857964
"2018-2022","MN",27,"5+","Total","Male",2683974
"2018-2022","MN",27,"12+","Total","Male",2419556
"2018-2022","MN",27,"16+","Total","Male",2266466
"2018-2022","MN",27,"18+","Total","Male",2189306
"2018-2022","MN",27,"50+","Total","Male",982227
"2018-2022","MN",27,"65+","Total","Male",430060
"2018-2022","MN",27,"0 to 0.4 yrs","American Indian and Alaska Native","Total",400
"2018-2022","MN",27,"0.5 to 4 yrs","American Indian and Alaska Native","Total",3600
"2018-2022","MN",27,"5 to 11 yrs","American Indian and Alaska Native","Total",6102
"2018-2022","MN",27,"12 to 15 yrs","American Indian and Alaska Native","Total",3483
