"year","state","state_fips","age","race/ethnicity","sex","estimate"
"2017-2021","MN",27,"0 to 0.4","Total","Total",34847
"2017-2021","MN",27,"0.5 to 4","Total","Total",313621
"2017-2021","MN",27,"5 to 11","Total","Total",521512
"2017-2021","MN",27,"12 to 15","Total","Total",303364
"2017-2021","MN",27,"16 to 17","Total","Total",150225
"2017-2021","MN",27,"18 to 49","Total","Total",2338629
"2017-2021","MN",27,"50 to 64","Total","Total",1106757
"2017-2021","MN",27,"65 to 74","Total","Total",535592
"2017-2021","MN",27,"75+","Total","Total",365925
"2017-2021","MN",27,"Total","Total","Total",5670472
"2017-2021","MN",27,"5+","Total","Total",5322004
"2017-2021","MN",27,"12+","Total","Total",4800492
"2017-2021","MN",27,"16+","Total","Total",4497128
"2017-2021","MN",27,"18+","Total","Total",4346903
"2017-2021","MN",27,"50+","Total","Total",2008274
"2017-2021","MN",27,"65+","Total","Total",901517
"2017-2021","MN",27,"0 to 0.4","Total","Female",17033
"2017-2021","MN",27,"0.5 to 4","Total","Female",153298
"2017-2021","MN",27,"5 to 11","Total","Female",253928
"2017-2021","MN",27,"12 to 15","Total","Female",149062
"2017-2021","MN",27,"16 to 17","Total","Female",73437
"2017-2021","MN",27,"18 to 49","Total","Female",1146946
"2017-2021","MN",27,"50 to 64","Total","Female",550623
"2017-2021","MN",27,"65 to 74","Total","Female",275175
"2017-2021","MN",27,"75+","Total","Female",211835
"2017-2021","MN",27,"Total","Total","Female",2831337
"2017-2021","MN",27,"5+","Total","Female",2661006
"2017-2021","MN",27,"12+","Total","Female",2407078
"2017-2021","MN",27,"16+","Total","Female",2258016
"2017-2021","MN",27,"18+","Total","Female",2184579
"2017-2021","MN",27,"50+","Total","Female",1037633
"2017-2021","MN",27,"65+","Total","Female",487010
"2017-2021","MN",27,"0 to 0.4","Total","Male",17814
"2017-2021","MN",27,"0.5 to 4","Total","Male",160323
"2017-2021","MN",27,"5 to 11","Total","Male",267584
"2017-2021","MN",27,"12 to 15","Total","Male",154302
"2017-2021","MN",27,"16 to 17","Total","Male",76788
"2017-2021","MN",27,"18 to 49","Total","Male",1191683
"2017-2021","MN",27,"50 to 64","Total","Male",556134
"2017-2021","MN",27,"65 to 74","Total","Male",260417
"2017-2021","MN",27,"75+","Total","Male",154090
"2017-2021","MN",27,"Total","Total","Male",2839135
"2017-2021","MN",27,"5+","Total","Male",2660998
"2017-2021","MN",27,"12+","Total","Male",2393414
"2017-2021","MN",27,"16+","Total","Male",2239112
"2017-2021","MN",27,"18+","Total","Male",2162324
"2017-2021","MN",27,"50+","Total","Male",970641
"2017-2021","MN",27,"65+","Total","Male",414507
"2017-2021","MN",27,"0 to 0.4","American Indian and Alaska Native","Total",411
"2017-2021","MN",27,"0.5 to 4","American Indian and Alaska Native","Total",3703
"2017-2021","MN",27,"5 to 11","American Indian and Alaska Native","Total",6478
"2017-2021","MN",27,"12 to 15","American Indian and Alaska Native","Total",3706
"2017-2021","MN",27,"16 to 17","American Indian and Alaska Native","Total",1900
"2017-2021","MN",27,"18 to 49","American Indian and Alaska Native","Total",23703
"2017-2021","MN",27,"50 to 64","American Indian and Alaska Native","Total",8357
"2017-2021","MN",27,"65 to 74","American Indian and Alaska Native","Total",3279
"2017-2021","MN",27,"75+","American Indian and Alaska Native","Total",1158
"2017-2021","MN",27,"Total","American Indian and Alaska Native","Total",52695
"2017-2021","MN",27,"5+","American Indian and Alaska Native","Total",48581
"2017-2021","MN",27,"12+","American Indian and Alaska Native","Total",42103
"2017-2021","MN",27,"16+","American Indian and Alaska Native","Total",38397
"2017-2021","MN",27,"18+","American Indian and Alaska Native","Total",36497
"2017-2021","MN",27,"50+","American Indian and Alaska Native","Total",12794
"2017-2021","MN",27,"65+","American Indian and Alaska Native","Total",4437
"2017-2021","MN",27,"0 to 0.4","Asian, Native Hawaiian and Other Pacific Islander","Total",2115
"2017-2021","MN",27,"0.5 to 4","Asian, Native Hawaiian and Other Pacific Islander","Total",19033
"2017-2021","MN",27,"5 to 11","Asian, Native Hawaiian and Other Pacific Islander","Total",31642
"2017-2021","MN",27,"12 to 15","Asian, Native Hawaiian and Other Pacific Islander","Total",17880
"2017-2021","MN",27,"16 to 17","Asian, Native Hawaiian and Other Pacific Islander","Total",8466
"2017-2021","MN",27,"18 to 49","Asian, Native Hawaiian and Other Pacific Islander","Total",151709
"2017-2021","MN",27,"50 to 64","Asian, Native Hawaiian and Other Pacific Islander","Total",36571
"2017-2021","MN",27,"65 to 74","Asian, Native Hawaiian and Other Pacific Islander","Total",11841
"2017-2021","MN",27,"75+","Asian, Native Hawaiian and Other Pacific Islander","Total",6463
"2017-2021","MN",27,"Total","Asian, Native Hawaiian and Other Pacific Islander","Total",285720
"2017-2021","MN",27,"5+","Asian, Native Hawaiian and Other Pacific Islander","Total",264572
"2017-2021","MN",27,"12+","Asian, Native Hawaiian and Other Pacific Islander","Total",232930
"2017-2021","MN",27,"16+","Asian, Native Hawaiian and Other Pacific Islander","Total",215050
"2017-2021","MN",27,"18+","Asian, Native Hawaiian and Other Pacific Islander","Total",206584
"2017-2021","MN",27,"50+","Asian, Native Hawaiian and Other Pacific Islander","Total",54875
"2017-2021","MN",27,"65+","Asian, Native Hawaiian and Other Pacific Islander","Total",18304
"2017-2021","MN",27,"0 to 0.4","Black","Total",3549
"2017-2021","MN",27,"0.5 to 4","Black","Total",31941
"2017-2021","MN",27,"5 to 11","Black","Total",53366
"2017-2021","MN",27,"12 to 15","Black","Total",27861
"2017-2021","MN",27,"16 to 17","Black","Total",13205
"2017-2021","MN",27,"18 to 49","Black","Total",178275
"2017-2021","MN",27,"50 to 64","Black","Total",47716
"2017-2021","MN",27,"65 to 74","Black","Total",14220
"2017-2021","MN",27,"75+","Black","Total",6273
"2017-2021","MN",27,"Total","Black","Total",376406
