"year","geoid","gnis_featu","tribal_name","tribal_gov","census_name","age","race/ethnicity","sex","estimate"
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","0 to 0.4 yrs","Total","Total",29
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","0.5 to 4 yrs","Total","Total",260
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","5 to 11 yrs","Total","Total",468
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","12 to 15 yrs","Total","Total",265
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","16 to 17 yrs","Total","Total",133
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","18 to 49 yrs","Total","Total",1644
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","50 to 64 yrs","Total","Total",739
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","65 to 74 yrs","Total","Total",399
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","75+ yrs","Total","Total",231
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","Total","Total","Total",4168
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","5+","Total","Total",3879
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","12+","Total","Total",3411
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","16+","Total","Total",3146
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","18+","Total","Total",3013
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","50+","Total","Total",1369
"2017-2021",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","65+","Total","Total",630
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","0 to 0.4 yrs","Total","Total",4
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","0.5 to 4 yrs","Total","Total",33
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","5 to 11 yrs","Total","Total",47
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","12 to 15 yrs","Total","Total",30
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","16 to 17 yrs","Total","Total",28
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","18 to 49 yrs","Total","Total",237
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","50 to 64 yrs","Total","Total",144
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","65 to 74 yrs","Total","Total",78
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","75+ yrs","Total","Total",29
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","Total","Total","Total",630
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","5+","Total","Total",593
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","12+","Total","Total",546
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","16+","Total","Total",516
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","18+","Total","Total",488
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","50+","Total","Total",251
"2017-2021",1355,"00654523","Grand Portage","Grand Portage Band of Lake Superior Chippewa","Grand Portage Reservation and Off-Reservation Trust Land, MN","65+","Total","Total",107
"2017-2021",1450,"02418963","Ho-Chunk Nation","Ho-Chunk Nation of Wisconsin","Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN","0 to 0.4 yrs","Total","Total",12
"2017-2021",1450,"02418963","Ho-Chunk Nation","Ho-Chunk Nation of Wisconsin","Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN","0.5 to 4 yrs","Total","Total",105
