"year","geoid","gnis_featu","tribal_name","tribal_gov","census_name","age","race and ethnicity","sex","estimate"
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","0 to 0.4 yrs","Total","Total",30
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","0.5 to 4 yrs","Total","Total",266
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","5 to 11 yrs","Total","Total",461
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","12 to 15 yrs","Total","Total",268
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","16 to 17 yrs","Total","Total",135
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","18 to 49 yrs","Total","Total",1605
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","50 to 64 yrs","Total","Total",709
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","65 to 74 yrs","Total","Total",377
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","75+ yrs","Total","Total",247
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","Total","Total","Total",4098
"2018-2022",1125,"00654521","Fond du Lac","Fond du Lac Band of Lake Superior Chippewa","Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI","5+","Total","Total",3802
